"Code","Country","P_falciparum_Malaria_Incidence_Per_10k.sum","Dengue_Incidence_Per_10k.sum","Cutaneous_Leishmaniasis_Incidence_Per_10k.sum","Pasture_Mosaic_Area_ha_delta","Forest_Pasture_Mosaic_delta","area_mn_pasture_mosaic_delta","Agriculture_Area_ha_delta","Forest_Agriculture_delta","area_mn_agriculture_delta"
1200609,"Brazil",1128.37697567891,1531.90772666549,122.264530823008,34419.6899999999,140441,0.3263769137677,0,0,0
1200708,"Brazil",20.1479879229448,2576.92564605094,1664.66339639517,39251.43,102587,7.2729378812808,68.5800000000002,0,1.08372413793103
1200807,"Brazil",61.3249955971862,294.517594468857,181.142661383978,19731.87,21272,20.226272212966,131.94,1,-0.17120224719101
1300029,"Brazil",3300.8288066949,65.7397720628555,19.5028945201141,3223.8,24587,0.0481826710974897,0,0,0
1300060,"Brazil",99.814588310267,9.39954878198836,15.8992416636703,-147.959999999999,1097,-0.07498850091888,0,0,0
1300086,"Brazil",123.340025830652,21.3933199852352,0,3394.88999999999,30309,0.2928816873284,1.71,20,1.71
1300102,"Brazil",143.039153777198,92.0434905559066,16.4792786184928,1337.58,11647,0.50797035014456,0,0,0
1300144,"Brazil",437.688691162402,31.6405982991768,300.131766813029,175851.81,331606,9.5919053081176,1859.4,3087,2.35676470588235
1300201,"Brazil",12088.9129381408,27.9703713936096,128.879549286358,572.58,8963,-0.44632920763801,-70.47,18,-1.8500935828877
1300300,"Brazil",674.954188462476,16.4162253243874,47.2697864770915,11640.51,59365,-0.48441879397635,0.63,0,0.315
1300409,"Brazil",9457.06880000273,579.431279576289,154.183583578385,7554.96,62239,0.36350906520073,0,0,0
1300508,"Brazil",1.65593286546851,2.98336905706723,33.3604843702149,-9337.86,-20111,-0.67501428040463,317.43,1409,1.95374193548387
1300607,"Brazil",222.854602674171,298.163127554992,10.9441698668481,-430.02,6945,-3.24412830447323,-152.01,198,-1.76105590062112
1300631,"Brazil",379.091363802819,31.5370202845426,4.69978601642388,4786.29,27903,0.96805503662477,0,0,0
1300680,"Brazil",4.56095256597623,23.9901048854806,17.8990063960439,-6051.06000000001,-21845,0.35314750517973,97.5600000000001,896,1.47027272727273
1300706,"Brazil",321.090511769526,454.87958392362,262.048686037661,122344.830000001,298043,-0.231858402571,79.6499999999999,14,0.01269230769231
1300805,"Brazil",728.900136567977,193.720585679656,35.6088994330586,6399.81,39213,0.07209201038726,7.01999999999999,27,1.00285714285714
1300839,"Brazil",1317.86264297764,4.96477333254257,50.0269404823272,5629.14,28957,1.33298237803547,27.1799999999999,11,0.876774193548387
1300904,"Brazil",2612.74041428505,1.71941117678585,51.8578767890195,39085.2899999999,93930,3.2941676765942,1856.88,2667,0.41818750597
1301001,"Brazil",959.272845435441,381.797283049806,81.2076888185637,-565.46999999999,1228,0.19114666997875,0,0,0
1301100,"Brazil",957.511112473848,158.017726669239,7.03892402549388,2219.57999999999,47050,-1.23362179238691,134.91,804,1.56872093023256
1301159,"Brazil",188.21530702466,2.09863483832489,0,7258.77,34274,1.09753721236147,1.08,0,0.54
1301209,"Brazil",1513.69265182548,677.641497592297,107.731501580105,2660.30999999997,29506,-0.23054974778955,0,0,0
1301308,"Brazil",71.0363359554122,313.608861821349,9.32047160769359,2630.79,24313,0.44463392248935,0,0,0
1301407,"Brazil",2397.77262514777,143.22262873413,143.296742565472,2534.8499999999,21567,-0.0709135623045403,0,0,0
1301506,"Brazil",291.951745490241,95.3408363128055,264.308887859773,10235.79,32682,2.3125250175428,0,0,0
1301605,"Brazil",89.2900827867751,3.65465129921195,10.5109296784451,5581.26,57777,0.16021140470099,0,0,0
1301654,"Brazil",13197.0773962257,2251.14730372234,167.606756280116,10728.54,53576,-2.9100479420893,13.23,61,1.323
1301704,"Brazil",756.328434667658,549.158077861524,171.963186516372,30494.61,155589,-0.482272591476501,784.619999999999,3647,0.28396551724138
1301803,"Brazil",2498.5555210879,70.3750441829635,105.421452284451,7793.0100000001,26475,0.75541048024705,0,0,0
1301852,"Brazil",317.36575388723,135.106790400048,0.410417787603483,-174.330000000002,18603,-1.3505123028261,121.77,204,1.845
1301902,"Brazil",163.418013116431,307.595222954965,122.826369680998,-14376.6,-13005,-2.10729860094369,160.65,1547,1.134375
1301951,"Brazil",1649.60482314068,3.81239465422348,51.4324035046415,521.099999999999,1313,0.84637527420476,0,0,0
1302009,"Brazil",217.868892903009,1.16558960092955,79.9138040811511,-1960.73999999999,-4024,-0.77790779049295,236.79,2375,0.987375
1302108,"Brazil",1826.67167436617,68.7351272949878,83.3160041460324,566.91,5116,0.51643542199489,-3.69000000000002,-1,-0.105
1302207,"Brazil",731.359181856678,5.43314023787211,19.7660648185356,5200.65,29865,0.62379439824945,0,0,0
1302306,"Brazil",1968.17806147453,575.00884664475,2.72967712468208,3022.92,28473,-0.9037533786713,0,0,0
1302405,"Brazil",2384.69526207011,805.667937321007,256.775995448577,294087.6,358509,9.7554080972973,6512.04,2921,3.50243879361324
1302504,"Brazil",203.472181961558,258.907157833164,34.7903612585936,11112.21,82008,0.1780699013013,181.44,321,1.62
1302553,"Brazil",166.536296577354,23.0391784197428,1.12995347209522,8240.30999999999,33293,0.9950929194044,97.6500000000002,109,2.12282608695652
1302603,"Brazil",68.1477826370635,625.610158983606,64.1788259113986,-5705.64,2968,-0.8541410901113,106.65,277,-13.3296923076923
1302702,"Brazil",628.347682099689,257.447589577696,87.2425517209683,102352.77,152964,8.25625385193325,793.8,2029,0.43640617760618
1302801,"Brazil",539.606961224658,24.5839148185399,13.2480235987072,9896.76,91502,0.74996519404887,0,0,0
1302900,"Brazil",722.77690631942,170.502571953971,103.407296050402,7911.18,-3584,1.60759971133836,117,1348,0.61806741573034
1303007,"Brazil",366.169514176838,2.16950144644065,96.8470188101745,-1388.3399999999,5877,0.64485075330677,613.89,1480,1.58956318681318
1303106,"Brazil",272.767000700367,197.610068240066,44.1938829421168,610.110000000001,6223,-0.0959539880860198,0,0,0
1303205,"Brazil",535.160518524636,193.684973995377,90.5143430971479,2303.36999999999,22236,-1.28113591835482,72.2699999999998,159,3.6135
1303304,"Brazil",1404.05334803336,793.038158575235,165.784485460928,113662.26,229097,11.1451529980689,900.540000000002,1467,-2.47815789473684
1303403,"Brazil",1.85220721624283,148.057729043152,26.8058395206767,-20379.24,-23677,-2.15237371640815,1027.44,4179,1.452970289036
1303502,"Brazil",880.507297520683,3.30928742932983,144.175798938078,15031.98,61299,1.04869475079919,0,0,0
1303536,"Brazil",636.028774959829,120.980525598424,968.514366524725,4798.7100000001,42832,-1.21412314128386,271.97999999999,1696,-95.0953255668815
1303569,"Brazil",397.664280210188,25.6797159401217,1080.46147889816,330.300000000003,23322,-3.72029981316202,19.89,54,2.21
1303601,"Brazil",8616.42736078728,27.5318897390291,150.426274477747,368.37,5452,-0.46479276542077,0,0,0
1303700,"Brazil",1003.03143580703,78.8056234031938,9.76845525271911,931.23,12153,-0.05229863216039,0,0,0
1303809,"Brazil",4282.8825630475,1236.55760253198,89.003117565997,4395.78,48574,-1.552794488014,-20.52,-283,-0.00984375000000015
1303908,"Brazil",720.386987588135,45.3608451182382,9.46412307283371,1386.45000000001,14790,0.07253249007937,0,0,0
1303957,"Brazil",835.002662635328,18.5047682796632,37.6705098523119,-325.349999999999,2386,0.328010621617,242.19,1809,1.34520710059172
1304005,"Brazil",172.746038956841,18.3882497702486,122.771612493513,-3495.06,-9109,-1.68204063851549,72.7200000000001,835,0.6792
